timestamp,name,email,password
06|12|2024 14:19:47,mustt,mustafaaaa@@,qwertyuiop
06|12|2024 15:35:27,asdfghjkl;,jfghjk@,sdfghjm
06|12|2024 15:38:52,dfghj,dfghj@,sdfghj
06|12|2024 15:46:06,abcc,abcc@gmail.com,asdfghj
14|12|2024 12:13:15,om,omm@gmail.com,123456789
15|12|2024 00:52:04,mustafa,muss@gmail.com,123456
15|12|2024 00:56:00,mus,muss@gmail,123456
15|12|2024 00:58:44,dfg,asdf@gg,2222
16|12|2024 16:12:49,Ojas ,ojas@gmail.com,7894
16|12|2024 20:45:23,mustafaKhan,mkkk@gmail.com,123456
16|12|2024 20:58:16,mustafa,bbiill@,123456
16|12|2024 21:03:23,mustafa,4455@gmail,4455
25|12|2024 11:48:02,Ayaan,ayaan@gmail.com,123
27|12|2024 07:55:49,Shlok Nikam,shlok123@gmail.com,shlok12345
29|12|2024 16:56:38,snk,jcnjes@nfks.com,sdfgh
29|12|2024 16:56:43,snk,jcnjes@nfks.com,sdfgh
29|12|2024 16:56:48,snk,jcnjes@nfks.com,sdfgh
29|12|2024 16:57:09,snk,jcnjes@gmail.com,sdfgh
29|12|2024 16:57:22,jcnjes,jcnjes@gmail.com,sdfgh
29|12|2024 16:57:23,jcnjes,jcnjes@gmail.com,sdfgh
29|12|2024 17:04:04,atharva,atharva@gmail.com,Pasnd w
29|12|2024 17:07:34,bd,nxdrhs@gmail.com,sscgx 
29|12|2024 17:12:47,bd,nxdrhs@gmail.com,sscgx 
29|12|2024 17:37:06,mustafa,muss@gmail.com,123456
29|12|2024 17:37:08,mustafa,muss@gmail.com,123456
29|12|2024 17:37:11,mustafa,muss@gmail.com,123456
timestamp,name,email,password
02|01|2025 13:05:27,tere maaa ki -----,asdfghjkl@,1234567890
timestamp,name,email,password
02|01|2025 13:14:55,om,qwertyuiop@,1234567890
timestamp,name,email,password
02|01|2025 13:16:21,asdfgh,qaz@,qwertyuiop
timestamp,name,email,password
02|01|2025 13:22:13,test_user1,test_user1@,1234567890
